Day,TM,PV,SP,OP,PB,IT,DT,Hyst,Bias
8/11/2010,12:10:04 PM,49.9,50,55,30,40,0,0,0
8/11/2010,12:10:05 PM,50,50,56,30,40,0,0,0
8/11/2010,12:10:06 PM,49.9,50,55,30,40,0,0,0
8/11/2010,12:10:07 PM,49.8,50,55,30,40,0,0,0
8/11/2010,12:10:08 PM,49.7,50,55,30,40,0,0,0
8/11/2010,12:10:09 PM,49.9,60,55,30,40,0,0,0
8/11/2010,12:10:10 PM,50.1,60,22,30,40,0,0,0
8/11/2010,12:10:11 PM,56.6,60,43,30,40,0,0,0
8/11/2010,12:10:12 PM,61.8,60,60,30,40,0,0,0
8/11/2010,12:10:13 PM,58.1,60,48,30,40,0,0,0
8/11/2010,12:10:14 PM,54.3,60,35,30,40,0,0,0
8/11/2010,12:10:15 PM,57.1,60,44,30,40,0,0,0
8/11/2010,12:10:16 PM,60,60,53,30,40,0,0,0
8/11/2010,12:10:17 PM,59.3,60,51,30,40,0,0,0
8/11/2010,12:10:18 PM,57.1,60,44,30,40,0,0,0
8/11/2010,12:10:19 PM,56.3,60,41,30,40,0,0,0
8/11/2010,12:10:20 PM,57.9,60,46,30,40,0,0,0
8/11/2010,12:10:21 PM,59.5,60,51,30,40,0,0,0
8/11/2010,12:10:22 PM,59.1,60,50,30,40,0,0,0
8/11/2010,12:10:23 PM,58,60,46,30,40,0,0,0
8/11/2010,12:10:24 PM,57,60,42,30,40,0,0,0
8/11/2010,12:10:25 PM,57.1,60,42,30,40,0,0,0
8/11/2010,12:10:26 PM,58,60,45,30,40,0,0,0
8/11/2010,12:10:27 PM,58.9,60,48,30,40,0,0,0
8/11/2010,12:10:28 PM,59.2,60,49,30,40,0,0,0
8/11/2010,12:10:29 PM,58.8,60,48,30,40,0,0,0
8/11/2010,12:10:30 PM,58.6,60,47,30,40,0,0,0
8/11/2010,12:10:31 PM,58.5,60,46,30,40,0,0,0
8/11/2010,12:10:32 PM,58.5,60,46,30,40,0,0,0
8/11/2010,12:10:33 PM,58.4,60,46,30,40,0,0,0
8/11/2010,12:10:34 PM,58.2,60,45,30,40,0,0,0
8/11/2010,12:10:35 PM,58.1,60,45,30,40,0,0,0
8/11/2010,12:10:36 PM,58.2,60,45,30,40,0,0,0
8/11/2010,12:10:37 PM,58.1,60,44,30,40,0,0,0
8/11/2010,12:10:38 PM,58.2,60,44,30,40,0,0,0
8/11/2010,12:10:39 PM,58.4,60,45,30,40,0,0,0
8/11/2010,12:10:40 PM,58.4,60,45,30,40,0,0,0
8/11/2010,12:10:41 PM,58.4,60,45,30,40,0,0,0
8/11/2010,12:10:42 PM,58.4,60,45,30,40,0,0,0
8/11/2010,12:10:43 PM,58.5,60,45,30,40,0,0,0
8/11/2010,12:10:44 PM,58.5,60,44,30,40,0,0,0
8/11/2010,12:10:45 PM,58.3,60,44,30,40,0,0,0
8/11/2010,12:10:46 PM,58.4,60,44,30,40,0,0,0
8/11/2010,12:10:47 PM,58.4,60,44,30,40,0,0,0
8/11/2010,12:10:48 PM,58.4,60,44,30,40,0,0,0
8/11/2010,12:10:49 PM,58.2,60,43,30,40,0,0,0
8/11/2010,12:10:50 PM,58.4,60,43,30,40,0,0,0
8/11/2010,12:10:51 PM,58.5,60,44,30,40,0,0,0
8/11/2010,12:10:52 PM,58.7,60,44,30,40,0,0,0
8/11/2010,12:10:53 PM,58.8,60,44,30,40,0,0,0
8/11/2010,12:10:54 PM,59,60,45,30,40,0,0,0
8/11/2010,12:10:55 PM,59.2,60,46,30,40,0,0,0
8/11/2010,12:10:56 PM,58.9,60,45,30,40,0,0,0
8/11/2010,12:10:57 PM,58.9,60,44,30,40,0,0,0
8/11/2010,12:10:58 PM,58.9,60,44,30,40,0,0,0
8/11/2010,12:10:59 PM,58.9,60,44,30,40,0,0,0
8/11/2010,12:11:00 PM,58.7,60,43,30,40,0,0,0
8/11/2010,12:11:01 PM,58.6,60,43,30,40,0,0,0
8/11/2010,12:11:02 PM,58.6,60,43,30,40,0,0,0
8/11/2010,12:11:03 PM,58.5,60,42,30,40,0,0,0
8/11/2010,12:11:04 PM,58.9,60,44,30,40,0,0,0
8/11/2010,12:11:05 PM,59.1,60,44,30,40,0,0,0
8/11/2010,12:11:06 PM,59.1,60,44,30,40,0,0,0
8/11/2010,12:11:07 PM,59.4,60,45,30,40,0,0,0
8/11/2010,12:11:08 PM,59.3,60,45,30,40,0,0,0
8/11/2010,12:11:09 PM,59.2,60,44,30,40,0,0,0
8/11/2010,12:11:10 PM,59.2,60,44,30,40,0,0,0
8/11/2010,12:11:11 PM,59.4,60,45,30,40,0,0,0
8/11/2010,12:11:12 PM,59.4,60,45,30,40,0,0,0
8/11/2010,12:11:13 PM,59.5,60,45,30,40,0,0,0
8/11/2010,12:11:14 PM,59.4,60,45,30,40,0,0,0
8/11/2010,12:11:15 PM,59.4,60,45,30,40,0,0,0
8/11/2010,12:11:16 PM,59.6,60,45,30,40,0,0,0
8/11/2010,12:11:17 PM,59.5,60,45,30,40,0,0,0
8/11/2010,12:11:18 PM,59.4,60,45,30,40,0,0,0
8/11/2010,12:11:19 PM,59.6,60,45,30,40,0,0,0
8/11/2010,12:11:20 PM,59.7,60,46,30,40,0,0,0
8/11/2010,12:11:21 PM,59.7,60,46,30,40,0,0,0
8/11/2010,12:11:22 PM,59.7,60,45,30,40,0,0,0
8/11/2010,12:11:23 PM,59.6,60,45,30,40,0,0,0
8/11/2010,12:11:24 PM,59.2,60,44,30,40,0,0,0
8/11/2010,12:11:25 PM,59.1,60,43,30,40,0,0,0
8/11/2010,12:11:26 PM,59.2,60,44,30,40,0,0,0
8/11/2010,12:11:27 PM,59.2,60,44,30,40,0,0,0
8/11/2010,12:11:28 PM,59.3,60,44,30,40,0,0,0
8/11/2010,12:11:29 PM,59.3,60,44,30,40,0,0,0
8/11/2010,12:11:30 PM,59.2,60,43,30,40,0,0,0
8/11/2010,12:11:31 PM,59.1,60,43,30,40,0,0,0
8/11/2010,12:11:32 PM,59,60,43,30,40,0,0,0
8/11/2010,12:11:33 PM,59.1,60,43,30,40,0,0,0
8/11/2010,12:11:34 PM,59.3,60,43,30,40,0,0,0
8/11/2010,12:11:35 PM,59.2,60,43,30,40,0,0,0
8/11/2010,12:11:36 PM,59.4,60,44,30,40,0,0,0
8/11/2010,12:11:37 PM,59.4,60,44,30,40,0,0,0
8/11/2010,12:11:38 PM,59.4,60,44,30,40,0,0,0
8/11/2010,12:11:39 PM,59.4,60,44,30,40,0,0,0
8/11/2010,12:11:40 PM,59.3,60,43,30,40,0,0,0
8/11/2010,12:11:41 PM,59.3,60,43,30,40,0,0,0
8/11/2010,12:11:42 PM,59.4,60,43,30,40,0,0,0
8/11/2010,12:11:43 PM,59.4,60,43,30,40,0,0,0
8/11/2010,12:11:44 PM,59.6,60,44,30,40,0,0,0
8/11/2010,12:11:45 PM,59.4,60,43,30,40,0,0,0
8/11/2010,12:11:46 PM,59.4,60,43,30,40,0,0,0
8/11/2010,12:11:47 PM,59.4,60,43,30,40,0,0,0
8/11/2010,12:11:48 PM,59.2,60,42,30,40,0,0,0
8/11/2010,12:11:49 PM,59.4,60,43,30,40,0,0,0
8/11/2010,12:11:50 PM,59.2,60,42,30,40,0,0,0
8/11/2010,12:11:51 PM,59.2,60,42,30,40,0,0,0
8/11/2010,12:11:52 PM,59.3,60,42,30,40,0,0,0
8/11/2010,12:11:53 PM,59.4,60,43,30,40,0,0,0
8/11/2010,12:11:54 PM,59.4,60,43,30,40,0,0,0
8/11/2010,12:11:55 PM,59.5,60,43,30,40,0,0,0
8/11/2010,12:11:56 PM,59.6,60,43,30,40,0,0,0
8/11/2010,12:11:57 PM,59.5,60,43,30,40,0,0,0
8/11/2010,12:11:58 PM,59.5,60,43,30,40,0,0,0
8/11/2010,12:11:59 PM,59.4,60,42,30,40,0,0,0
8/11/2010,12:12:00 PM,59.3,60,42,30,40,0,0,0
8/11/2010,12:12:01 PM,59.5,60,43,30,40,0,0,0
8/11/2010,12:12:02 PM,59.6,60,43,30,40,0,0,0
8/11/2010,12:12:03 PM,59.6,60,43,30,40,0,0,0
8/11/2010,12:12:04 PM,59.5,60,42,30,40,0,0,0
8/11/2010,12:12:05 PM,59.4,60,42,30,40,0,0,0
8/11/2010,12:12:06 PM,59.5,60,42,30,40,0,0,0
8/11/2010,12:12:07 PM,59.4,60,42,30,40,0,0,0
8/11/2010,12:12:08 PM,59.5,60,42,30,40,0,0,0
8/11/2010,12:12:09 PM,59.4,60,42,30,40,0,0,0
8/11/2010,12:12:10 PM,59.6,60,43,30,40,0,0,0
8/11/2010,12:12:11 PM,59.7,60,43,30,40,0,0,0
8/11/2010,12:12:12 PM,59.7,60,43,30,40,0,0,0
8/11/2010,12:12:13 PM,59.5,60,42,30,40,0,0,0
8/11/2010,12:12:14 PM,59.6,60,42,30,40,0,0,0
8/11/2010,12:12:15 PM,59.5,60,42,30,40,0,0,0
8/11/2010,12:12:16 PM,59.6,60,42,30,40,0,0,0
8/11/2010,12:12:17 PM,59.6,60,42,30,40,0,0,0
8/11/2010,12:12:18 PM,60,60,44,30,40,0,0,0
8/11/2010,12:12:19 PM,60,60,44,30,40,0,0,0
8/11/2010,12:12:20 PM,59.7,60,43,30,40,0,0,0
8/11/2010,12:12:21 PM,59.9,60,43,30,40,0,0,0
8/11/2010,12:12:22 PM,59.9,60,43,30,40,0,0,0
8/11/2010,12:12:23 PM,59.8,60,43,30,40,0,0,0
8/11/2010,12:12:24 PM,59.5,60,42,30,40,0,0,0
8/11/2010,12:12:25 PM,59.6,60,42,30,40,0,0,0
8/11/2010,12:12:26 PM,59.5,60,42,30,40,0,0,0
8/11/2010,12:12:27 PM,59.6,60,42,30,40,0,0,0
8/11/2010,12:12:28 PM,59.6,60,42,30,40,0,0,0
8/11/2010,12:12:29 PM,59.5,60,42,30,40,0,0,0
8/11/2010,12:12:30 PM,59.7,60,42,30,40,0,0,0
8/11/2010,12:12:31 PM,59.7,60,42,30,40,0,0,0
